Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,5.120000,5.490000,4.560000,4.580000,4.580000,893869900
2017-11-14,4.620000,4.830000,4.360000,4.690000,4.690000,343702577
2017-11-15,4.650000,4.810000,4.550000,4.620000,4.620000,113051848
2017-11-16,4.650000,4.670000,4.430000,4.480000,4.480000,63658745
2017-11-17,4.530000,4.570000,4.300000,4.310000,4.310000,57019000
2017-11-20,4.330000,4.340000,4.020000,4.110000,4.110000,53604100
2017-11-21,4.110000,4.300000,4.100000,4.100000,4.100000,37632800
2017-11-22,4.110000,4.160000,3.900000,4.040000,4.040000,61044000
2017-11-23,4.050000,4.250000,4.010000,4.090000,4.090000,34841005
2017-11-24,4.120000,4.210000,4.100000,4.190000,4.190000,19278000
2017-11-27,4.190000,4.230000,4.080000,4.090000,4.090000,11253000
2017-11-28,4.110000,4.180000,4.030000,4.120000,4.120000,12381999
2017-11-29,4.140000,4.320000,4.120000,4.280000,4.280000,45537001
2017-11-30,4.230000,4.240000,4.080000,4.130000,4.130000,22896300
2017-12-01,4.170000,4.200000,4.110000,4.130000,4.130000,10902040
2017-12-04,4.100000,4.170000,4.060000,4.090000,4.090000,12762000
2017-12-05,4.050000,4.100000,4.030000,4.030000,4.030000,8678280
2017-12-06,4.020000,4.040000,3.900000,3.950000,3.950000,24352000
2017-12-07,3.970000,4.000000,3.680000,3.810000,3.810000,27736000
2017-12-08,3.800000,3.930000,3.740000,3.880000,3.880000,20172916
2017-12-11,3.880000,3.980000,3.840000,3.920000,3.920000,9216500
2017-12-12,3.920000,3.950000,3.850000,3.860000,3.860000,6383500
2017-12-13,3.860000,3.880000,3.730000,3.770000,3.770000,9434000
2017-12-14,3.800000,3.840000,3.780000,3.790000,3.790000,5923000
2017-12-15,3.800000,3.810000,3.760000,3.780000,3.780000,7026335
2017-12-18,3.800000,3.830000,3.720000,3.730000,3.730000,6265000
2017-12-19,3.740000,3.780000,3.710000,3.720000,3.720000,4349000
2017-12-20,3.760000,3.820000,3.720000,3.720000,3.720000,6753000
2017-12-21,3.730000,3.840000,3.720000,3.760000,3.760000,6163000
2017-12-22,3.760000,3.800000,3.750000,3.760000,3.760000,3384000
2017-12-27,3.780000,3.800000,3.710000,3.720000,3.720000,4378350
2017-12-28,3.730000,3.800000,3.720000,3.790000,3.790000,5552600
2017-12-29,3.780000,3.880000,3.770000,3.860000,3.860000,11399030
2018-01-02,3.870000,3.960000,3.830000,3.860000,3.860000,10910000
2018-01-03,3.870000,4.100000,3.860000,4.100000,4.100000,42514000
2018-01-04,4.150000,4.220000,4.030000,4.110000,4.110000,34492590
2018-01-05,4.120000,4.130000,4.010000,4.040000,4.040000,11641900
2018-01-08,4.040000,4.100000,4.040000,4.060000,4.060000,6205234
2018-01-09,4.080000,4.100000,4.020000,4.050000,4.050000,6700850
2018-01-10,4.050000,4.060000,3.940000,3.950000,3.950000,8458002
2018-01-11,3.950000,3.960000,3.880000,3.900000,3.900000,9598970
2018-01-12,3.920000,3.970000,3.910000,3.910000,3.910000,5405000
2018-01-15,3.920000,3.950000,3.850000,3.870000,3.870000,7604500
2018-01-16,3.870000,3.900000,3.860000,3.880000,3.880000,6671503
2018-01-17,3.890000,3.900000,3.850000,3.860000,3.860000,5934700
2018-01-18,3.870000,3.890000,3.800000,3.820000,3.820000,6744525
2018-01-19,3.830000,3.830000,3.780000,3.780000,3.780000,7531000
2018-01-22,3.810000,3.870000,3.770000,3.840000,3.840000,7644000
2018-01-23,3.850000,3.880000,3.800000,3.830000,3.830000,9008015
2018-01-24,3.820000,3.830000,3.750000,3.770000,3.770000,8639000
2018-01-25,3.780000,3.800000,3.750000,3.780000,3.780000,5683000
2018-01-26,3.780000,3.800000,3.750000,3.770000,3.770000,5702000
2018-01-29,3.810000,3.810000,3.740000,3.750000,3.750000,4027000
2018-01-30,3.740000,3.740000,3.700000,3.710000,3.710000,5739150
2018-01-31,3.710000,3.710000,3.670000,3.700000,3.700000,5315000
2018-02-01,3.700000,3.740000,3.700000,3.730000,3.730000,3322001
2018-02-02,3.730000,3.730000,3.600000,3.650000,3.650000,6710000
2018-02-05,3.500000,3.620000,3.480000,3.590000,3.590000,9478000
2018-02-06,3.490000,3.500000,3.310000,3.330000,3.330000,18918000
2018-02-07,3.390000,3.410000,3.200000,3.200000,3.200000,13723000
2018-02-08,3.200000,3.250000,3.160000,3.160000,3.160000,4961723
2018-02-09,3.000000,3.030000,2.890000,2.940000,2.940000,17734000
2018-02-12,2.950000,2.990000,2.940000,2.950000,2.950000,3856000
2018-02-13,2.980000,3.080000,2.980000,3.030000,3.030000,3846000
2018-02-14,3.060000,3.090000,3.000000,3.050000,3.050000,3450500
2018-02-15,3.060000,3.070000,3.030000,3.050000,3.050000,1658000
2018-02-20,3.070000,3.070000,2.970000,3.000000,3.000000,3777000
2018-02-21,3.030000,3.730000,3.000000,3.690000,3.690000,51517090
2018-02-22,3.620000,3.910000,3.480000,3.610000,3.610000,56228000
2018-02-23,3.680000,3.800000,3.620000,3.650000,3.650000,14082000
2018-02-26,3.680000,3.700000,3.500000,3.550000,3.550000,9083000
2018-02-27,3.550000,3.650000,3.520000,3.540000,3.540000,7277645
2018-02-28,3.510000,3.650000,3.440000,3.550000,3.550000,11547000
2018-03-01,3.530000,3.660000,3.500000,3.600000,3.600000,8242000
2018-03-02,3.530000,3.580000,3.500000,3.510000,3.510000,4518000
2018-03-05,3.500000,3.550000,3.350000,3.370000,3.370000,7362000
2018-03-06,3.460000,3.480000,3.350000,3.390000,3.390000,4825000
2018-03-07,3.390000,3.390000,3.310000,3.320000,3.320000,3311000
2018-03-08,3.340000,3.360000,3.320000,3.350000,3.350000,3233700
2018-03-09,3.350000,3.480000,3.350000,3.410000,3.410000,5666650
2018-03-12,3.440000,3.550000,3.420000,3.500000,3.500000,10107000
2018-03-13,3.500000,3.520000,3.450000,3.470000,3.470000,3552000
2018-03-14,3.450000,3.450000,3.360000,3.410000,3.410000,4267000
2018-03-15,3.430000,3.480000,3.370000,3.430000,3.430000,4610000
2018-03-16,3.440000,3.440000,3.370000,3.400000,3.400000,3722000
2018-03-19,3.400000,3.410000,3.340000,3.340000,3.340000,2875340
2018-03-20,3.330000,3.330000,3.270000,3.330000,3.330000,4160000
2018-03-21,3.350000,3.350000,3.130000,3.160000,3.160000,9618368
2018-03-22,3.170000,3.220000,3.080000,3.120000,3.120000,5970994
2018-03-23,2.960000,3.000000,2.780000,3.000000,3.000000,23438947
2018-03-26,3.000000,3.000000,2.890000,2.970000,2.970000,6262735
2018-03-27,3.000000,3.060000,2.970000,2.990000,2.990000,4571882
2018-03-28,3.000000,3.000000,2.890000,2.910000,2.910000,4732498
2018-03-29,2.900000,2.920000,2.840000,2.880000,2.880000,4226593
2018-04-03,2.880000,2.880000,2.800000,2.830000,2.830000,5504329
2018-04-04,2.860000,2.900000,2.800000,2.820000,2.820000,3348403
2018-04-06,2.820000,2.850000,2.770000,2.770000,2.770000,3282403
2018-04-09,2.770000,2.780000,2.700000,2.720000,2.720000,7012556
2018-04-10,2.720000,2.790000,2.690000,2.790000,2.790000,5100780
2018-04-11,2.790000,2.800000,2.740000,2.750000,2.750000,5141564
2018-04-12,2.740000,2.750000,2.710000,2.720000,2.720000,2395498
2018-04-13,2.750000,2.750000,2.710000,2.730000,2.730000,2693015
2018-04-16,2.730000,2.740000,2.680000,2.680000,2.680000,2463882
2018-04-17,2.670000,2.710000,2.650000,2.670000,2.670000,3408275
2018-04-18,2.670000,2.690000,2.540000,2.620000,2.620000,7716000
2018-04-19,2.600000,2.600000,2.530000,2.590000,2.590000,4793758
2018-04-20,2.590000,2.590000,2.540000,2.550000,2.550000,2406500
2018-04-23,2.550000,2.550000,2.400000,2.440000,2.440000,8771746
2018-04-24,2.430000,2.620000,2.380000,2.590000,2.590000,10474617
2018-04-25,2.580000,2.580000,2.460000,2.520000,2.520000,4755000
2018-04-26,2.520000,2.530000,2.400000,2.430000,2.430000,4839470
2018-04-27,2.440000,2.440000,2.400000,2.410000,2.410000,2994000
2018-04-30,2.410000,2.450000,2.400000,2.430000,2.430000,2673103
2018-05-02,2.450000,2.470000,2.410000,2.470000,2.470000,3696064
2018-05-03,2.480000,2.690000,2.460000,2.660000,2.660000,19120169
2018-05-04,2.660000,2.690000,2.480000,2.520000,2.520000,9846407
2018-05-07,2.540000,2.550000,2.480000,2.510000,2.510000,2524000
2018-05-08,2.510000,2.510000,2.490000,2.490000,2.490000,2573403
2018-05-09,2.480000,2.490000,2.410000,2.460000,2.460000,5071253
2018-05-10,2.430000,2.610000,2.420000,2.600000,2.600000,16295087
2018-05-11,2.600000,2.600000,2.490000,2.490000,2.490000,10182043
2018-05-14,2.490000,2.490000,2.440000,2.450000,2.450000,16733000
2018-05-15,2.450000,2.520000,2.420000,2.510000,2.510000,21312991
2018-05-16,2.510000,2.570000,2.470000,2.500000,2.500000,8137333
2018-05-17,2.500000,2.540000,2.460000,2.530000,2.530000,4379000
2018-05-18,2.520000,2.550000,2.490000,2.520000,2.520000,5531230
2018-05-21,2.520000,2.600000,2.490000,2.500000,2.500000,5221837
2018-05-23,2.560000,2.570000,2.480000,2.480000,2.480000,13076966
2018-05-24,2.500000,2.500000,2.480000,2.490000,2.490000,5265593
2018-05-25,2.490000,2.490000,2.440000,2.450000,2.450000,6649706
2018-05-28,2.470000,2.500000,2.430000,2.430000,2.430000,12216807
2018-05-29,2.440000,2.460000,2.350000,2.360000,2.360000,14132000
2018-05-30,2.350000,2.360000,2.230000,2.280000,2.280000,17038684
2018-05-31,2.280000,2.310000,2.250000,2.270000,2.270000,9522000
2018-06-01,2.270000,2.290000,2.230000,2.250000,2.250000,7301095
2018-06-04,2.270000,2.270000,2.220000,2.240000,2.240000,17580331
2018-06-05,2.260000,2.260000,2.200000,2.220000,2.220000,14240504
2018-06-06,2.230000,2.410000,2.220000,2.390000,2.390000,57787470
2018-06-07,2.440000,2.440000,2.270000,2.330000,2.330000,31850660
2018-06-08,2.320000,2.330000,2.250000,2.310000,2.310000,12077802
2018-06-11,2.310000,2.430000,2.310000,2.390000,2.390000,19496890
2018-06-12,2.390000,2.410000,2.330000,2.360000,2.360000,10695504
2018-06-13,2.350000,2.480000,2.340000,2.360000,2.360000,30845921
2018-06-14,2.370000,2.370000,2.260000,2.270000,2.270000,18088000
2018-06-15,2.280000,2.300000,2.200000,2.250000,2.250000,62397583
2018-06-19,2.230000,2.280000,2.120000,2.150000,2.150000,11338000
2018-06-20,2.150000,2.200000,2.130000,2.170000,2.170000,3894907
2018-06-21,2.200000,2.220000,2.120000,2.130000,2.130000,4894160
2018-06-22,2.140000,2.150000,2.060000,2.060000,2.060000,9598003
2018-06-25,2.090000,2.090000,1.900000,1.940000,1.940000,28542000
2018-06-26,1.950000,1.950000,1.810000,1.910000,1.910000,14646323
2018-06-27,1.930000,1.940000,1.800000,1.810000,1.810000,7843500
2018-06-28,1.810000,1.870000,1.800000,1.850000,1.850000,6668000
2018-06-29,1.860000,1.910000,1.850000,1.900000,1.900000,8612000
2018-07-03,1.850000,1.900000,1.780000,1.790000,1.790000,14339000
2018-07-04,1.820000,1.820000,1.700000,1.730000,1.730000,9085000
2018-07-05,1.750000,1.800000,1.700000,1.740000,1.740000,5781431
2018-07-06,1.750000,1.750000,1.680000,1.720000,1.720000,6417628
2018-07-09,1.750000,1.750000,1.700000,1.710000,1.710000,4381000
2018-07-10,1.710000,1.750000,1.690000,1.710000,1.710000,5981338
2018-07-11,1.710000,1.710000,1.640000,1.650000,1.650000,10094000
2018-07-12,1.670000,1.720000,1.650000,1.690000,1.690000,9137000
2018-07-13,1.690000,1.800000,1.670000,1.790000,1.790000,17073195
2018-07-16,1.800000,1.810000,1.730000,1.760000,1.760000,6641318
2018-07-17,1.760000,1.760000,1.670000,1.680000,1.680000,8243400
2018-07-18,1.700000,1.740000,1.680000,1.720000,1.720000,6547000
2018-07-19,1.720000,1.730000,1.680000,1.690000,1.690000,4455000
2018-07-20,1.700000,1.700000,1.650000,1.700000,1.700000,6262000
2018-07-23,1.680000,1.820000,1.660000,1.800000,1.800000,15322938
2018-07-24,1.840000,1.940000,1.840000,1.880000,1.880000,20657403
2018-07-25,1.920000,1.940000,1.870000,1.890000,1.890000,8218753
2018-07-26,1.910000,1.910000,1.850000,1.870000,1.870000,5047000
2018-07-27,1.870000,1.940000,1.870000,1.920000,1.920000,11576000
2018-07-30,1.900000,1.930000,1.860000,1.880000,1.880000,5222948
2018-07-31,1.880000,1.900000,1.820000,1.830000,1.830000,5228000
2018-08-01,1.850000,1.860000,1.790000,1.810000,1.810000,5368000
2018-08-02,1.800000,1.840000,1.770000,1.800000,1.800000,9338113
2018-08-03,1.800000,1.830000,1.780000,1.800000,1.800000,3446000
2018-08-06,1.820000,1.850000,1.800000,1.820000,1.820000,6383786
2018-08-07,1.830000,1.840000,1.810000,1.820000,1.820000,4016000
2018-08-08,1.820000,1.820000,1.760000,1.790000,1.790000,4367000
2018-08-09,1.800000,1.840000,1.780000,1.820000,1.820000,10185000
2018-08-10,1.820000,1.830000,1.790000,1.800000,1.800000,5726000
2018-08-13,1.800000,1.800000,1.770000,1.780000,1.780000,3092000
2018-08-14,1.770000,1.780000,1.710000,1.730000,1.730000,8982000
2018-08-15,1.740000,1.740000,1.670000,1.680000,1.680000,6843000
2018-08-16,1.660000,1.690000,1.640000,1.640000,1.640000,5222010
2018-08-17,1.660000,1.670000,1.640000,1.650000,1.650000,3132000
2018-08-20,1.670000,1.690000,1.640000,1.670000,1.670000,3512000
2018-08-21,1.670000,1.720000,1.670000,1.720000,1.720000,4656125
2018-08-22,1.720000,1.730000,1.670000,1.690000,1.690000,3037650
2018-08-23,1.680000,1.810000,1.680000,1.770000,1.770000,20210000
2018-08-24,1.770000,1.770000,1.720000,1.730000,1.730000,5820310
2018-08-27,1.720000,1.840000,1.720000,1.830000,1.830000,15422740
2018-08-28,1.840000,1.850000,1.780000,1.800000,1.800000,6233000
2018-08-29,1.800000,1.820000,1.770000,1.820000,1.820000,8466970
2018-08-30,1.820000,1.830000,1.750000,1.770000,1.770000,8681403
2018-08-31,1.700000,1.750000,1.640000,1.720000,1.720000,30850000
2018-09-03,1.720000,1.760000,1.700000,1.750000,1.750000,7669830
2018-09-04,1.750000,1.850000,1.720000,1.820000,1.820000,14076420
2018-09-05,1.820000,1.820000,1.750000,1.760000,1.760000,5992800
2018-09-06,1.760000,1.790000,1.710000,1.740000,1.740000,5390000
2018-09-07,1.740000,1.770000,1.710000,1.760000,1.760000,5283000
2018-09-10,1.760000,1.760000,1.680000,1.690000,1.690000,5135970
2018-09-11,1.690000,1.730000,1.650000,1.730000,1.730000,7705032
2018-09-12,1.720000,1.730000,1.660000,1.730000,1.730000,7731999
2018-09-13,1.720000,1.770000,1.710000,1.770000,1.770000,5396675
2018-09-14,1.800000,1.900000,1.750000,1.890000,1.890000,45274504
2018-09-17,1.840000,1.970000,1.840000,1.920000,1.920000,13283403
2018-09-18,1.920000,1.930000,1.870000,1.900000,1.900000,8550900
2018-09-19,1.900000,1.980000,1.890000,1.920000,1.920000,12818903
2018-09-20,1.940000,1.940000,1.840000,1.860000,1.860000,9188000
2018-09-21,1.890000,1.920000,1.850000,1.900000,1.900000,51672401
2018-09-24,1.900000,1.900000,1.830000,1.870000,1.870000,6144608
2018-09-26,1.870000,1.880000,1.850000,1.870000,1.870000,5724834
2018-09-27,1.890000,1.930000,1.840000,1.850000,1.850000,12139613
2018-09-28,1.850000,1.860000,1.740000,1.750000,1.750000,11860403
2018-10-02,1.760000,1.760000,1.690000,1.690000,1.690000,8798000
2018-10-03,1.710000,1.740000,1.690000,1.690000,1.690000,6758000
2018-10-04,1.690000,1.710000,1.670000,1.700000,1.700000,6516000
2018-10-05,1.700000,1.700000,1.620000,1.660000,1.660000,8177000
2018-10-08,1.640000,1.680000,1.610000,1.620000,1.620000,6953000
2018-10-09,1.620000,1.640000,1.590000,1.610000,1.610000,2665853
2018-10-10,1.610000,1.620000,1.520000,1.550000,1.550000,10143000
2018-10-11,1.430000,1.480000,1.360000,1.400000,1.400000,25581498
2018-10-12,1.420000,1.450000,1.370000,1.440000,1.440000,7121000
2018-10-15,1.460000,1.500000,1.410000,1.430000,1.430000,5184000
2018-10-16,1.440000,1.440000,1.410000,1.430000,1.430000,2570109
2018-10-18,1.420000,1.470000,1.410000,1.420000,1.420000,2584000
2018-10-19,1.430000,1.430000,1.380000,1.400000,1.400000,2748000
2018-10-22,1.370000,1.440000,1.360000,1.400000,1.400000,7862000
2018-10-23,1.400000,1.410000,1.350000,1.370000,1.370000,4319000
2018-10-24,1.370000,1.400000,1.330000,1.340000,1.340000,7736061
2018-10-25,1.280000,1.310000,1.270000,1.290000,1.290000,6611000
2018-10-26,1.300000,1.300000,1.230000,1.240000,1.240000,4808000
2018-10-29,1.220000,1.240000,1.200000,1.220000,1.220000,5723956
2018-10-30,1.200000,1.210000,1.170000,1.200000,1.200000,6755000
2018-10-31,1.200000,1.220000,1.180000,1.210000,1.210000,10113000
2018-11-01,1.200000,1.270000,1.200000,1.260000,1.260000,24367308
2018-11-02,1.280000,1.290000,1.240000,1.260000,1.260000,17058000
2018-11-05,1.230000,1.250000,1.200000,1.240000,1.240000,8033000
2018-11-06,1.230000,1.230000,1.210000,1.220000,1.220000,4990081
2018-11-07,1.220000,1.360000,1.220000,1.340000,1.340000,39260000
2018-11-08,1.360000,1.380000,1.290000,1.310000,1.310000,19233450
2018-11-09,1.300000,1.300000,1.250000,1.270000,1.270000,6526978
2018-11-12,1.250000,1.290000,1.240000,1.250000,1.250000,9219000
2018-11-13,1.220000,1.260000,1.200000,1.260000,1.260000,13235000
2018-11-14,1.240000,1.250000,1.210000,1.220000,1.220000,14092642
2018-11-15,1.220000,1.230000,1.210000,1.220000,1.220000,5986602
2018-11-16,1.220000,1.260000,1.220000,1.250000,1.250000,13998000
2018-11-19,1.240000,1.260000,1.240000,1.250000,1.250000,6298623
2018-11-20,1.220000,1.230000,1.210000,1.220000,1.220000,8106967
2018-11-21,1.190000,1.230000,1.190000,1.230000,1.230000,8206609
2018-11-22,1.230000,1.230000,1.210000,1.210000,1.210000,2573000
2018-11-23,1.210000,1.210000,1.190000,1.200000,1.200000,4637000
